0,1.366
0.15,0.903
0.3,0.717
0.45,0.263
0.6,0.327
0.75,0.286
0.9,0.22
1.05,0.14
1.2,0.17
1.35,0.211
1.5,0.122
1.65,0.063
1.8,0.044
1.95,0.037
2.1,0.042
2.25,0.025
2.4,0.03
2.55,0.026
2.7,0.046
2.85,0.047
3,0.073
3.15,0.067
3.3,0.027
3.45,0.043
3.6,0.05
3.75,0.019
3.9,0.074
4.05,0.006
4.2,0.014
4.35,0.038
4.5,0.024
4.65,0.138
4.8,0.087
4.95,0.043
5.1,0
5.25,0.01
5.4,0.008
5.55,0.039
5.7,0.044
5.85,0.061
6,0.072
6.15,0.081
6.3,0.126
6.45,0.11
6.6,0.09
6.75,0.086
6.9,0.031
7.05,0.054
7.2,0.203
7.35,0.213
7.5,0.274
7.65,0.363
7.8,0.422
7.95,0.959
8.05,1.11
