2.9,2.5
4.050,0.547
4.063,0.549
4.108,0.549
4.701,0.498
4.949,0.405
5.117,0.373
5.240,0.323
5.270,0.287
5.361,0.222
5.453,0.162
5.552,0.148
5.712,0.118
5.916,0.070
6.118,0.043
6.362,0.090
6.648,0.061
6.963,0.058
7.279,0.058
7.597,0.045
7.900,0.065
8.180,0.036
8.408,0.035
8.611,0.028
8.758,0.005
8.883,-0.032
9.025,-0.052
9.232,-0.081
9.468,-0.105
9.708,-0.120
9.942,-0.127
10.156,-0.147
10.390,-0.166
10.640,-0.165
10.918,-0.174
11.180,-0.158
11.460,-0.106
11.731,-0.039
12.001,0.023
12.240,0.071
12.436,0.111
12.612,0.158
12.813,0.188
13.060,0.221
13.315,0.250
13.542,0.278
13.737,0.290
13.886,0.298
14.084,0.305
14.268,0.315
14.455,0.328
14.649,0.340
14.826,0.345
15.004,0.365
15.221,0.385
15.391,0.398
15.553,0.493
15.710,0.523
15.851,0.545
15.865,0.565
16.500,0.580
16.800,0.630
17.500,0.780
18.530,0.980
19,2.88
