12.547,3.685
12.951,3.577
13.355,3.469
13.759,3.361
14.163,3.253
14.567,3.145
14.577,3.145
14.587,3.155
14.597,3.155
14.607,3.155
14.617,3.155
14.627,3.145
14.647,3.145
14.657,3.155
14.677,3.145
14.697,3.145
14.977,3.125
15.367,3.085
15.647,3.07
15.927,3.055
16.242,3.055
16.557,3.055
16.817,3.05
17.077,3.045
17.497,3.05
17.917,3.055
18.222,3.065
18.527,3.075
18.777,3.09
19.027,3.105
19.297,3.13
19.567,3.155
20.017,3.185
20.347,3.105
20.487,3.055
20.862,2.995
21.237,2.935
21.557,2.82
21.877,2.705
22.262,2.64
22.647,2.575
23.007,2.585
23.367,2.595
23.627,2.69
23.887,2.785
24.267,2.955
24.747,3.005
25.027,2.99
25.307,2.975
25.607,2.99
25.907,3.005
26.182,2.995
26.457,2.985
26.802,2.995
27.147,3.005
27.477,3.0
27.807,2.995
28.127,2.98
28.447,2.965
28.827,2.93
29.207,2.895
29.607,2.825
30.077,2.775
30.402,2.74
30.727,2.705
31.037,2.665
31.347,2.625
31.777,2.535
32.176,2.455
32.531,2.4
32.886,2.345
33.231,2.28
33.576,2.215
33.831,2.115
34.086,2.015
34.106,2.075
34.416,2.01
34.726,1.945
35.081,1.92
35.436,1.895
35.721,1.845
36.006,1.795
36.326,1.795
36.646,1.795
36.926,1.795
37.206,1.795
37.696,1.805
37.961,1.79
38.226,1.775
38.536,1.75
38.846,1.725
39.151,1.69
39.456,1.655
39.751,1.62
40.046,1.585
40.371,1.585
40.696,1.585
40.956,1.54
41.216,1.495
41.576,1.505
41.936,1.515
42.416,1.505
42.701,1.52
42.986,1.535
43.301,1.565
43.616,1.595
43.986,1.605
44.356,1.615
44.621,1.61
44.886,1.605
45.216,1.61
45.546,1.615
45.816,1.635
46.086,1.655
46.096,1.625
46.246,1.685
46.426,1.575
46.466,1.675
46.486,1.575
46.546,1.615
46.606,1.565
46.836,1.555
47.296,1.555
47.756,1.535
48.136,1.555
48.466,1.555
48.786,1.565
49.146,1.605
49.586,1.59
50.026,1.575
50.356,1.585
50.686,1.595
51.156,1.575
51.426,1.575
51.696,1.575
52.006,1.535
52.346,1.515
52.766,1.475
52.906,1.465
53.156,1.425
53.406,1.385
53.836,1.415
54.166,1.385
54.496,1.355
54.966,1.305
55.286,1.295
55.606,1.285
56.016,1.285
56.266,1.28
56.516,1.275
56.776,1.255
57.036,1.235
57.381,1.27
57.726,1.305
57.996,1.195
58.456,1.185
58.836,1.115
58.996,1.115
59.246,1.105
59.636,1.155
59.656,1.345
59.736,1.305
59.966,1.205
60.206,1.315
60.556,1.385
60.866,1.515
61.136,1.54
61.406,1.565
61.756,1.645
62.056,1.585
62.376,1.625
62.816,1.635
63.071,1.63
63.326,1.625
63.606,1.645
63.956,1.665
64.406,1.655
64.816,1.625
65.186,1.635
65.666,1.665
65.926,1.67
66.186,1.675
66.466,1.675
66.806,1.685
67.269,1.971
67.732,2.256
68.195,2.542
68.657,2.828
69.12,3.114
69.583,3.399
70.046,3.685
