12.547,25.428,3.685,0.85
12.951,25.431,3.577,0.85
13.355,25.434,3.469,0.85
13.759,25.437,3.361,0.85
14.163,25.44,3.253,0.85
14.567,25.442,3.145,0.85
14.577,25.443,3.145,0.85
14.587,25.443,3.155,0.85
14.597,25.443,3.155,0.85
14.607,25.443,3.155,0.85
14.617,25.443,3.155,0.85
14.627,25.443,3.145,0.85
14.647,25.443,3.145,0.85
14.657,25.443,3.155,0.85
14.677,25.443,3.145,0.85
14.697,25.443,3.145,0.85
14.977,25.445,3.125,0.85
15.367,25.448,3.085,0.85
15.647,25.45,3.07,0.85
15.927,25.452,3.055,0.85
16.242,25.454,3.055,0.85
16.557,25.457,3.055,0.85
16.817,25.459,3.05,0.85
17.077,25.46,3.045,0.85
17.497,25.463,3.05,0.85
17.917,25.466,3.055,0.85
18.222,25.469,3.065,0.85
18.527,25.471,3.075,0.85
18.777,25.473,3.09,0.85
19.027,25.474,3.105,0.85
19.297,25.476,3.13,0.85
19.567,25.478,3.155,0.85
20.017,25.481,3.185,0.85
20.347,25.484,3.105,0.85
20.487,25.485,3.055,0.85
20.862,25.487,2.995,0.85
21.237,25.49,2.935,0.85
21.557,25.492,2.82,0.85
21.877,25.495,2.705,0.85
22.262,25.497,2.64,0.85
22.647,25.5,2.575,0.85
23.007,25.503,2.585,0.85
23.367,25.505,2.595,0.85
23.627,25.507,2.69,0.85
23.887,25.509,2.785,0.85
24.267,25.512,2.955,0.85
24.747,25.515,3.005,0.85
25.027,25.517,2.99,0.85
25.307,25.519,2.975,0.85
25.607,25.521,2.99,0.85
25.907,25.523,3.005,0.85
26.182,25.525,2.995,0.85
26.457,25.527,2.985,0.85
26.802,25.53,2.995,0.85
27.147,25.532,3.005,0.85
27.477,25.535,3.0,0.85
27.807,25.537,2.995,0.85
28.127,25.539,2.98,0.85
28.447,25.542,2.965,0.85
28.827,25.544,2.93,0.85
29.207,25.547,2.895,0.85
29.607,25.55,2.825,0.85
30.077,25.553,2.775,0.85
30.402,25.556,2.74,0.85
30.727,25.558,2.705,0.85
31.037,25.56,2.665,0.85
31.347,25.562,2.625,0.85
31.777,25.565,2.535,0.85
32.176,25.568,2.455,0.85
32.531,25.571,2.4,0.85
32.886,25.573,2.345,0.85
33.231,25.576,2.28,0.85
33.576,25.578,2.215,0.85
33.831,25.58,2.115,0.85
34.086,25.582,2.015,0.85
34.106,25.582,2.075,0.85
34.416,25.584,2.01,0.85
34.726,25.587,1.945,0.85
35.081,25.589,1.92,0.85
35.436,25.592,1.895,0.85
35.721,25.594,1.845,0.85
36.006,25.596,1.795,0.85
36.326,25.598,1.795,0.85
36.646,25.6,1.795,0.85
36.926,25.602,1.795,0.85
37.206,25.604,1.795,0.85
37.696,25.608,1.805,0.85
37.961,25.61,1.79,0.85
38.226,25.612,1.775,0.85
38.536,25.614,1.75,0.85
38.846,25.616,1.725,0.85
39.151,25.618,1.69,0.85
39.456,25.62,1.655,0.85
39.751,25.622,1.62,0.85
40.046,25.625,1.585,0.85
40.371,25.627,1.585,0.85
40.696,25.629,1.585,0.85
40.956,25.631,1.54,0.85
41.216,25.633,1.495,0.85
41.576,25.635,1.505,0.85
41.936,25.638,1.515,0.85
42.416,25.642,1.505,0.85
42.701,25.644,1.52,0.85
42.986,25.646,1.535,0.85
43.301,25.648,1.565,0.85
43.616,25.65,1.595,0.85
43.986,25.653,1.605,0.85
44.356,25.655,1.615,0.85
44.621,25.657,1.61,0.85
44.886,25.659,1.605,0.85
45.216,25.662,1.61,0.85
45.546,25.664,1.615,0.85
45.816,25.666,1.635,0.85
46.086,25.668,1.655,0.85
46.096,25.668,1.625,0.85
46.246,25.669,1.685,0.85
46.426,25.67,1.575,0.85
46.466,25.67,1.675,0.85
46.486,25.671,1.575,0.85
46.546,25.671,1.615,0.85
46.606,25.671,1.565,0.85
46.836,25.673,1.555,0.85
47.296,25.676,1.555,0.85
47.756,25.68,1.535,0.85
48.136,25.682,1.555,0.85
48.466,25.685,1.555,0.85
48.786,25.687,1.565,0.85
49.146,25.69,1.605,0.85
49.586,25.693,1.59,0.85
50.026,25.696,1.575,0.85
50.356,25.698,1.585,0.85
50.686,25.701,1.595,0.85
51.156,25.704,1.575,0.85
51.426,25.706,1.575,0.85
51.696,25.708,1.575,0.85
52.006,25.71,1.535,0.85
52.346,25.712,1.515,0.85
52.766,25.715,1.475,0.85
52.906,25.716,1.465,0.85
53.156,25.718,1.425,0.85
53.406,25.72,1.385,0.85
53.836,25.723,1.415,0.85
54.166,25.725,1.385,0.85
54.496,25.728,1.355,0.85
54.966,25.731,1.305,0.85
55.286,25.733,1.295,0.85
55.606,25.736,1.285,0.85
56.016,25.739,1.285,0.85
56.266,25.741,1.28,0.85
56.516,25.742,1.275,0.85
56.776,25.744,1.255,0.85
57.036,25.746,1.235,0.85
57.381,25.748,1.27,0.85
57.726,25.751,1.305,0.85
57.996,25.753,1.195,0.85
58.456,25.756,1.185,0.85
58.836,25.759,1.115,0.85
58.996,25.76,1.115,0.85
59.246,25.762,1.105,0.85
59.636,25.765,1.155,0.85
59.656,25.765,1.345,0.85
59.736,25.765,1.305,0.85
59.966,25.767,1.205,0.85
60.206,25.769,1.315,0.85
60.556,25.771,1.385,0.85
60.866,25.773,1.515,0.85
61.136,25.775,1.54,0.85
61.406,25.777,1.565,0.85
61.756,25.78,1.645,0.85
62.056,25.782,1.585,0.85
62.376,25.784,1.625,0.85
62.816,25.787,1.635,0.85
63.071,25.789,1.63,0.85
63.326,25.791,1.625,0.85
63.606,25.793,1.645,0.85
63.956,25.795,1.665,0.85
64.406,25.799,1.655,0.85
64.816,25.802,1.625,0.85
65.186,25.804,1.635,0.85
65.666,25.808,1.665,0.85
65.926,25.81,1.67,0.85
66.186,25.811,1.675,0.85
66.466,25.813,1.675,0.85
66.806,25.816,1.685,0.85
67.269,25.819,1.971,0.85
67.732,25.822,2.256,0.85
68.195,25.826,2.542,0.85
68.657,25.829,2.828,0.85
69.12,25.832,3.114,0.85
69.583,25.836,3.399,0.85
70.046,25.839,3.685,0.85
