0,2.58
0.404,2.472
0.808,2.364
1.212,2.256
1.616,2.148
2.02,2.04
2.03,2.04
2.04,2.05
2.05,2.05
2.06,2.05
2.07,2.05
2.08,2.04
2.1,2.04
2.11,2.05
2.13,2.04
2.15,2.04
2.43,2.02
2.82,1.98
3.1,1.965
3.38,1.95
3.695,1.95
4.01,1.95
4.27,1.945
4.53,1.94
4.95,1.945
5.37,1.95
5.675,1.96
5.98,1.97
6.23,1.985
6.48,2
6.75,2.025
7.02,2.05
7.47,2.08
7.8,2
7.94,1.95
8.315,1.89
8.69,1.83
9.01,1.715
9.33,1.6
9.715,1.535
10.1,1.47
10.46,1.48
10.82,1.49
11.08,1.585
11.34,1.68
11.72,1.85
12.2,1.9
12.48,1.885
12.76,1.87
13.06,1.885
13.36,1.9
13.635,1.89
13.91,1.88
14.255,1.89
14.6,1.9
14.93,1.895
15.26,1.89
15.58,1.875
15.9,1.86
16.28,1.825
16.66,1.79
17.06,1.72
17.53,1.67
17.855,1.635
18.18,1.6
18.49,1.56
18.8,1.52
19.23,1.43
19.629,1.35
19.984,1.295
20.339,1.24
20.684,1.175
21.029,1.11
21.284,1.01
21.539,0.91
21.559,0.97
21.869,0.905
22.179,0.84
22.534,0.815
22.889,0.79
23.174,0.74
23.459,0.69
23.779,0.69
24.099,0.69
24.379,0.69
24.659,0.69
25.149,0.7
25.414,0.685
25.679,0.67
25.989,0.645
26.299,0.62
26.604,0.585
26.909,0.55
27.204,0.515
27.499,0.48
27.824,0.48
28.149,0.48
28.409,0.435
28.669,0.39
29.029,0.4
29.389,0.41
29.869,0.4
30.154,0.415
30.439,0.43
30.754,0.46
31.069,0.49
31.439,0.5
31.809,0.51
32.074,0.505
32.339,0.5
32.669,0.505
32.999,0.51
33.269,0.53
33.539,0.55
33.549,0.52
33.699,0.58
33.879,0.47
33.919,0.57
33.939,0.47
33.999,0.51
34.059,0.46
34.289,0.45
34.749,0.45
35.209,0.43
35.589,0.45
35.919,0.45
36.239,0.46
36.599,0.5
37.039,0.485
37.479,0.47
37.809,0.48
38.139,0.49
38.609,0.47
38.879,0.47
39.149,0.47
39.459,0.43
39.799,0.41
40.219,0.37
40.359,0.36
40.609,0.32
40.859,0.28
41.289,0.31
41.619,0.28
41.949,0.25
42.419,0.2
42.739,0.19
43.059,0.18
43.46,0.18
43.719,0.175
43.969,0.17
44.229,0.15
44.489,0.13
44.834,0.165
45.179,0.2
45.449,0.09
45.909,0.08
46.289,0.01
46.449,0.01
46.699,0
47.089,0.05
47.109,0.24
47.189,0.2
47.419,0.1
47.659,0.21
48.009,0.28
48.319,0.41
48.589,0.435
48.859,0.46
49.209,0.54
49.509,0.48
49.829,0.52
50.269,0.53
50.524,0.525
50.779,0.52
51.059,0.54
51.409,0.56
51.859,0.55
52.269,0.52
52.639,0.53
53.119,0.56
53.379,0.565
53.639,0.57
53.919,0.57
54.259,0.58
54.722,0.866
55.185,1.151
55.648,1.437
56.11,1.723
56.57,2.009
57.036,2.294
57.499,2.58
